"","Forest_class","Wolf.territory","Moose.presence","Rase.presence","Small.roads","Big.roads","Pine.proportion.100","Pine.proportion","Time.since.establishment","Taxar","Pellet.counts"
"50",2,0,0,0,123,332,0,0.02,6,2010,0
"51",3,1,0,1,276,1648,0,0.16,2,2008,1
"52",3,1,0,0,845,1235,0,0,4,2012,1
"53",4,1,0,1,197,1147,2.9195863,0.25,12,2003,0
"54",4,1,0,0,43,831,3.2480187,0.02,0,2015,0
"55",3,0,0,0,36,2544,0,0.02,4,2014,0
"56",4,1,0,1,354,440,3.8976225,0,0,2013,0
"57",4,0,0,1,84,461,0.8155276,0.19,0,2009,0
"58",2,1,1,0,304,476,5.1968299,0.02,0,2012,0
"59",3,0,1,0,85,2247,1.2992075,0.06,1,2006,0
"60",2,1,0,1,213,626,0,0.02,0,2012,0
"61",2,1,0,1,470,1303,2.1218808,0.03,0,2014,0
"62",3,0,1,1,331,433,0,0.01,8,2007,0
"63",3,0,1,0,373,4251,1.9488112,0.1,0,2004,0
"64",3,0,0,0,212,805,1.9488112,0.02,13,2013,0
"65",3,1,0,0,36,2638,0.8340284,0,9,2015,0
"66",4,1,0,0,210,597,35.0786021,0,0,2007,0
"67",3,0,0,0,441,4063,27.2833572,0.01,3,2014,0
"68",4,0,0,0,149,3373,2.598415,0.2,0,2012,0
"69",3,1,0,0,85,2140,1.2992075,0.14,0,2009,0
"70",4,1,0,1,478,1223,23.3406892,0.01,0,2007,0
"71",3,1,0,1,406,975,7.1456412,0.03,1,2014,0
"72",2,1,0,0,273,1391,0,0.11,0,2005,0
"73",3,0,0,0,297,1209,5.1968299,0.05,0,2008,2
"74",2,0,1,0,146,3120,0.6496037,0.09,0,2008,1
"75",3,0,0,1,263,468,0,0,0,2009,0
"76",4,1,0,0,77,2291,2.598415,0.05,0,2013,0
"77",3,1,0,1,331,5017,3.2480187,0.02,0,2004,0
"78",3,0,0,1,540,711,11.0432636,0.01,0,2007,0
"79",3,0,0,1,19,553,1.9488112,0,0,2013,0
"80",4,0,0,0,600,2652,7.1456412,0,0,2003,0
"81",2,1,0,1,169,340,3.2480187,0,0,2011,0
"82",4,1,1,1,499,4355,3.2480187,0,0,2008,0
"83",3,1,0,1,123,454,0,0.01,0,2005,0
"84",4,0,0,1,293,3413,2.0137716,0.2,6,2016,0
"85",3,0,0,1,99,1819,7.7952449,0.01,0,2014,0
"86",2,0,0,0,116,10783,1.6319869,0.03,0,2013,0
"87",3,1,0,0,21,2774,3.2480187,0,1,2006,0
"88",3,0,0,1,419,2586,0,0,4,2015,0
"89",3,1,0,1,259,1123,0,0,0,2015,0
"90",2,1,0,1,757,1242,0.3248019,0.02,10,2012,0
"91",3,0,0,1,274,558,0.3248019,0.01,1,2006,0
"92",2,0,0,0,531,1554,6.4960374,0.01,5,2007,0
"93",3,1,0,1,31,3553,2.598415,0.02,0,2008,0
"94",3,0,0,0,25,661,7.7952449,0.09,0,2008,0
"95",3,1,0,1,333,903,0.3248019,0.06,0,2003,0
"96",4,1,0,0,64,720,5.1968299,0.11,12,2016,0
"97",3,1,0,1,354,2522,0,0,0,2007,0
"98",3,1,0,0,56,2356,3.2480187,0.19,0,2010,0
"99",3,0,1,1,24,2953,0,0.04,0,2008,1
"100",2,1,0,0,290,442,12.9920748,0.05,0,2005,0
"101",3,1,0,0,206,371,1.2992075,0.14,0,2006,0
"102",4,0,0,1,399,6764,1.2992075,0,0,2011,0
"103",3,1,0,0,552,646,0,0.03,0,2009,0
"104",3,0,0,1,297,4692,1.9488112,0.05,0,2004,0
"105",3,0,0,0,306,2112,0.6496037,0.02,0,2004,0
"106",3,1,0,0,234,3058,2.598415,0,8,2007,0
"107",3,0,0,1,57,313,0.4147313,0.01,4,2010,0
"108",3,1,1,1,294,3275,4.5472262,0.19,0,2008,0
"109",4,0,0,1,231,2356,0,0.01,0,2005,0
"110",3,1,1,0,299,2864,17.539301,0.01,5,2014,0
"111",4,1,0,1,61,3602,1.2992075,0.11,0,2008,0
"112",3,1,0,1,129,2137,0,0.05,0,2006,0
"113",2,0,0,1,190,703,1.2992075,0.01,0,2011,0
"114",3,1,0,1,111,2915,0,0.01,17,2010,0
"115",3,0,0,0,121,554,0.8159935,0,0,2012,0
"116",2,1,1,0,241,1501,1.2992075,0.1,0,2012,0
"117",2,1,0,0,32,657,3.2480187,0.01,0,2009,0
"118",3,0,0,0,178,406,1.9488112,0.12,3,2013,0
"119",3,1,1,1,137,1556,0,0.04,0,2003,0
"120",2,0,0,0,301,2855,9.4192543,0.09,0,2011,0
"121",2,0,1,0,59,2452,1.2992075,0,12,2003,0
"122",2,0,0,1,437,1036,0.6496037,0.01,0,2011,0
"123",1,0,0,0,234,2854,0,0.12,0,2009,0
"124",2,0,0,1,333,2160,7.7952449,0.02,9,2008,0
"125",4,0,0,1,783,6469,2.0137716,0.06,5,2014,0
"126",3,0,0,1,94,6830,0,0.01,0,2007,0
"127",3,0,0,0,60,1465,1.2992075,0,0,2008,0
"128",4,0,0,1,13,1879,0.3248019,0,7,2010,0
"129",4,0,0,1,11,1828,5.1968299,0.01,4,2016,0
"130",3,1,0,1,1273,3334,3.2480187,0.11,7,2011,0
"131",1,0,0,0,98,502,0,0.17,0,2014,2
"132",4,1,0,1,370,2993,7.7952449,0.05,17,2013,0
"133",3,0,1,0,448,7249,0.6496037,0.03,0,2014,2
"134",4,1,1,0,155,2611,0,0,0,2010,0
"135",2,1,0,0,386,1142,19.4881123,0.04,0,2016,1
"136",4,1,0,0,510,2583,3.2480187,0,0,2005,1
"137",2,1,0,1,555,107,25.3345459,0.01,0,2016,0
"138",4,1,0,1,192,4889,3.2480187,0,8,2010,0
"139",4,1,0,1,6,1765,9.4192543,0.23,0,2009,1
"140",2,1,0,0,211,3608,1.2992075,0.01,0,2007,0
"141",4,0,0,1,151,4365,9.0944524,0.12,0,2005,0
"142",1,0,0,1,433,816,5.1968299,0.01,0,2012,0
"143",3,1,0,1,540,2899,3.2480187,0.08,0,2010,0
"144",4,1,0,1,5,3095,0,0,0,2009,0
"145",3,1,0,1,366,1918,0.6496037,0.3,7,2003,0
"146",4,0,1,0,83,2428,0,0.03,0,2016,0
"147",2,0,0,0,160,3362,5.1968299,0.28,0,2013,0
"148",4,0,0,0,282,462,1.9488112,0,3,2014,0
"149",1,1,0,0,712,1994,0,0,0,2013,0
"150",4,0,0,1,132,1692,5.1968299,0,5,2004,1
"151",4,1,1,1,269,568,5.8464337,0.06,0,2004,5
"152",3,0,0,1,195,736,0,0.04,3,2005,0
"153",3,1,0,1,338,2681,9.7440561,0.06,2,2011,0
"154",2,1,0,0,35,773,3.2480187,0.02,0,2011,0
"155",3,0,0,0,9,4128,0.4102059,0.02,0,2015,0
"156",1,1,0,0,332,1089,0,0.1,5,2012,0
"157",4,1,0,0,179,6006,1.2992075,0.05,0,2003,0
"158",1,0,0,0,47,1572,0.6496037,0.02,0,2010,0
"159",3,1,0,0,349,1699,20.4625179,0,13,2008,0
"160",4,0,0,1,320,2915,9.0944524,0,0,2011,0
"161",4,1,0,0,355,1075,5.1968299,0.04,11,2004,0
"162",4,0,0,1,506,3114,1.9488112,0.04,4,2006,0
"163",4,0,0,1,87,2748,0,0.01,0,2012,0
"164",3,0,0,0,70,1993,0.3248019,0.09,0,2011,0
"165",3,1,0,0,521,687,3.8976225,0,4,2006,0
"166",4,0,0,0,485,3423,0.3248019,0.25,3,2009,1
"167",4,0,0,1,169,5257,4.5472262,0.37,0,2009,4
"168",3,1,0,1,51,1538,1.2992075,0.05,0,2015,0
"169",2,1,1,1,307,3343,2.0394844,0,0,2010,0
"170",3,1,0,1,273,3516,0,0.02,19,2005,0
"171",2,0,0,0,162,1099,0,0,3,2015,0
"172",4,0,0,0,243,2391,1.2992075,0.13,0,2004,0
"173",4,0,1,1,23,2278,0,0.34,0,2009,0
"174",4,1,0,0,98,1126,0.6496037,0,0,2005,1
"175",3,0,0,1,230,3033,10.3936599,0,0,2012,0
"176",2,0,1,0,405,859,5.1968299,0.14,0,2004,0
"177",4,0,0,1,20,10442,0,0.12,9,2009,0
"178",4,1,0,1,26,2251,3.2480187,0,5,2015,0
"179",3,1,1,1,63,528,0,0,0,2006,0
"180",3,0,0,1,228,7055,1.9488112,0,3,2007,1
"181",4,0,0,0,715,4310,0.0649604,0.01,6,2009,0
"182",3,0,0,1,259,606,0,0,0,2009,0
"183",4,1,1,1,251,3682,0.3248019,0.09,0,2004,0
"184",3,1,0,1,454,3973,0,0.01,0,2014,0
"185",1,1,0,0,112,2923,0,0.04,4,2007,0
"186",3,0,1,1,41,352,1.6240094,0.03,0,2004,0
"187",2,0,0,0,28,4043,0,0.01,13,2010,0
"188",4,0,0,0,703,1883,1.3641679,0.03,0,2008,0
"189",3,0,0,0,271,3659,0.0649604,0,0,2015,0
"190",2,0,0,0,116,2611,5.1968299,0.05,0,2011,0
"191",4,0,1,1,146,469,0.6496037,0,1,2010,0
"192",1,1,0,1,285,4372,1.2992075,0,0,2005,1
"193",3,1,0,1,41,441,1.2992075,0.07,0,2013,0
"194",2,0,0,0,516,8508,3.8976225,0.11,1,2008,0
"195",2,0,0,0,298,2030,1.2992075,0.05,0,2016,0
"196",2,0,0,0,40,3411,3.2480187,0.17,0,2013,0
"197",2,1,0,1,293,1477,11.6928674,0.01,0,2003,0
"198",2,1,0,0,267,2785,23.3857347,0,0,2009,0
"199",1,1,0,0,288,4309,16.8896973,0.01,4,2012,0
"200",4,1,0,0,897,1816,1.2992075,0,0,2009,0
"201",4,1,1,0,532,4252,0.6496037,0,3,2006,0
"202",4,1,1,0,130,3906,0,0,0,2016,0
"203",3,0,0,0,190,1680,19.4881123,0,9,2009,0
"204",2,0,0,0,193,1042,0,0.08,0,2006,0
"205",4,0,0,0,30,897,0,0.1,0,2007,0
"206",2,0,1,1,262,2842,6.4960374,0,0,2015,0
"207",3,0,0,1,537,8533,5.1968299,0.03,0,2013,1
"208",3,1,0,0,163,432,0.6496037,0,0,2005,0
"209",3,0,0,0,16,343,1.2992075,0,0,2013,0
"210",1,1,0,1,139,1440,6.4960374,0.02,0,2011,0
"211",4,1,0,0,231,194,2.598415,0.2,13,2003,0
"212",3,0,0,1,126,6573,0,0,1,2006,0
"213",3,0,0,0,304,1517,0.3248019,0,0,2006,0
"214",2,0,0,1,341,2,3.8976225,0,4,2010,0
"215",4,0,0,0,876,2176,22.4113291,0,0,2016,0
"216",2,0,0,1,114,3739,1.9488112,0.23,11,2013,0
"217",4,0,0,0,248,3115,0.3248019,0.01,0,2008,0
"218",4,0,0,1,390,176,0.6496037,0,0,2003,0
"219",4,1,0,0,384,2228,0.3248019,0.01,0,2005,0
"220",2,0,0,0,137,1507,1.2992075,0.06,0,2015,0
"221",4,0,0,1,87,1736,5.1968299,0,12,2016,0
"222",3,1,0,1,113,404,0,0.02,5,2010,0
"223",3,1,0,0,435,3838,2.598415,0.09,0,2007,0
"224",3,1,0,1,309,4140,1.2992075,0,0,2006,0
"225",3,1,0,1,96,4825,1.9488112,0.01,0,2010,0
"226",4,0,0,1,53,2576,0,0.04,0,2008,0
"227",2,0,0,1,91,1126,2.598415,0.1,0,2004,0
"228",3,0,0,1,213,1016,0,0.07,2,2008,1
"229",4,0,1,0,420,3047,3.2480187,0.01,5,2013,6
"230",4,0,0,1,101,3511,2.598415,0.09,5,2016,0
"231",2,1,0,0,25,263,0.6496037,0.13,0,2003,0
"232",4,0,1,0,91,2255,13.6416786,0.05,0,2003,0
"233",3,1,0,0,233,2195,3.2480187,0,0,2007,0
"234",2,1,1,0,209,491,1.9488112,0.03,4,2008,0
"235",4,0,0,1,204,1782,0,0.16,0,2012,0
"236",3,1,0,1,124,519,0,0,6,2011,1
"237",2,0,0,0,132,288,7.7952449,0,4,2006,0
"238",3,1,0,0,366,463,0,0.03,0,2010,0
"239",4,0,1,1,87,8305,5.2617903,0.04,2,2003,0
"240",1,0,0,0,1029,1700,1.6240094,0,5,2014,0
"241",4,0,0,0,177,3231,1.2992075,0.24,0,2012,0
"242",3,0,0,1,443,1975,27.2833572,0.05,3,2003,0
"243",3,0,0,0,807,630,12.3424711,0.02,0,2016,0
"244",4,0,0,0,689,334,1.9488112,0.04,3,2009,3
"245",1,0,0,1,265,3125,1.2992075,0.02,4,2011,0
"246",4,1,0,0,227,608,1.2992075,0.06,2,2009,0
"247",2,0,0,1,572,829,28.5825646,0.07,0,2014,0
"248",4,0,0,0,392,2231,1.9488112,0,0,2008,0
"249",1,0,0,0,40,270,0.3248019,0.24,0,2008,0
"250",2,1,0,1,84,6286,1.9488112,0.04,0,2008,0
"251",4,0,0,0,110,1132,3.8976225,0,6,2016,0
"252",4,0,0,1,57,2027,7.7952449,0.05,0,2004,2
"253",3,1,1,0,124,1417,0,0.01,6,2012,0
"254",3,0,0,0,291,320,1.2992075,0.04,0,2004,0
"255",3,0,0,1,216,905,1.2992075,0,6,2015,0
"256",4,0,0,1,69,4885,3.2480187,0.06,0,2011,0
"257",3,0,0,1,94,417,3.2480187,0.01,0,2013,4
"258",3,0,0,1,133,2955,0.4079967,0.06,0,2008,2
"259",4,0,0,0,107,2642,28.5825646,0.03,11,2004,0
"260",4,0,0,1,496,1977,0,0.19,4,2003,0
"261",2,1,0,0,263,10610,7.1456412,0,1,2005,0
"262",3,1,0,0,646,2673,0,0,0,2016,0
"263",4,0,0,1,61,619,0,0.07,7,2008,0
"264",3,0,0,1,958,720,3.3129791,0.03,0,2006,0
"265",3,1,0,1,272,5481,17.539301,0,4,2005,0
"266",3,1,0,0,66,5808,17.539301,0.12,0,2008,0
"267",2,0,0,1,57,1411,7.1456412,0.04,0,2012,0
"268",3,1,0,0,241,7023,4.5472262,0.02,1,2004,0
"269",3,1,0,0,70,5848,9.0944524,0.01,0,2013,0
"270",2,0,0,1,125,2185,0.0649604,0.03,0,2008,0
"271",3,0,0,1,618,2168,3.2480187,0.09,0,2016,0
"272",2,0,0,1,90,234,0,0,0,2013,0
"273",3,0,0,0,21,5678,4.5472262,0.01,0,2011,1
"274",2,0,0,1,78,2358,2.598415,0.13,0,2012,0
"275",3,0,1,0,681,1584,0.6496037,0.01,2,2003,0
"276",4,1,0,1,329,2348,5.1968299,0,4,2009,0
"277",2,0,0,0,116,6237,24.0353384,0,0,2003,0
"278",4,0,0,0,34,2594,17.539301,0.09,0,2012,0
"279",3,0,0,1,191,90,0,0.04,0,2007,1
"280",3,0,0,1,200,1260,0,0,0,2005,0
"281",3,1,1,1,311,548,2.598415,0.01,1,2014,0
"282",4,1,0,0,762,948,1.2992075,0.08,0,2015,0
"283",2,0,1,1,89,2754,22.0865272,0.02,11,2006,1
"284",2,0,1,0,234,11222,0.3248019,0.01,11,2014,0
"285",2,0,0,0,125,434,0.3248019,0.03,0,2013,0
"286",3,0,0,0,44,409,0,0.04,6,2008,0
"287",4,1,0,0,163,1639,0,0.12,0,2011,0
"288",3,1,0,0,158,232,0.3248019,0.01,0,2009,0
"289",4,1,0,1,88,1008,0.8158603,0.11,2,2004,0
"290",2,0,0,0,167,2403,1.2992075,0.01,0,2010,0
"291",4,1,0,1,112,3765,0,0.05,15,2010,0
"292",4,0,0,0,382,462,0,0,5,2005,1
"293",2,1,1,1,165,4696,4.8720281,0.01,0,2012,0
"294",3,0,0,1,329,839,27.2833572,0.05,0,2016,0
"295",4,0,0,1,85,2265,71.7812135,0,3,2015,0
"296",2,1,0,1,381,529,0.1299207,0.01,1,2004,1
"297",4,0,1,1,55,93,0.0649604,0.16,0,2007,0
"298",3,0,1,0,20,1670,9.7440561,0.03,7,2016,0
"299",4,0,0,0,286,707,1.2992075,0.07,0,2010,0
"300",3,0,1,1,174,6282,1.2992075,0.05,0,2016,0
"301",3,0,0,0,123,1041,9.0944524,0,8,2007,0
"302",1,1,0,1,154,1995,1.2992075,0.07,0,2009,0
"303",4,0,0,1,423,337,29.2321684,0,0,2006,0
"304",4,1,1,1,210,2076,19.4881123,0.01,0,2010,0
"305",2,1,0,1,423,1274,0.3248019,0,0,2006,0
"306",4,0,0,1,363,1760,8.4448486,0.05,0,2008,0
"307",3,1,0,0,210,2677,3.2480187,0.02,0,2010,0
"308",1,1,0,1,529,3267,1.9488112,0.01,0,2009,0
"309",4,0,0,0,255,749,0,0,7,2003,0
"310",2,0,0,0,124,1746,0.3248019,0.04,0,2015,0
"311",2,1,0,1,247,558,3.8976225,0,3,2003,0
"312",4,0,0,1,1026,4129,0.3248019,0,0,2005,0
"313",3,0,1,0,335,831,3.2480187,0.04,0,2015,0
"314",3,1,0,0,167,2102,9.0944524,0,0,2007,0
"315",3,0,0,1,15,942,0,0,0,2004,0
"316",3,0,0,0,52,4664,19.1633104,0.08,0,2007,0
"317",3,1,1,0,449,1957,11.0432636,0.15,3,2010,0
"318",3,0,0,0,210,2778,12.3424711,0.02,0,2014,0
"319",3,0,0,1,18,4005,1.9488112,0.01,0,2009,0
"320",2,0,1,1,78,3434,0,0.01,0,2005,0
"321",3,0,1,1,466,3450,0,0.04,0,2009,1
"322",2,1,0,1,53,1260,0,0.01,0,2006,0
"323",3,1,0,0,87,5304,0.3248019,0.02,1,2004,0
"324",3,0,0,1,276,1908,5.1968299,0.09,6,2011,0
"325",3,1,0,0,134,28,5.5216318,0.07,20,2006,0
"326",3,0,0,0,229,809,1.2992075,0.01,0,2014,0
"327",4,0,0,1,2,513,3.8976225,0.05,0,2010,0
"328",3,1,0,1,196,878,0,0.07,6,2015,0
"329",4,0,0,1,147,7391,2.598415,0.09,5,2012,0
"330",2,0,0,1,119,315,27.2833572,0,0,2005,0
"331",2,0,0,0,108,5049,6.4960374,0,4,2009,0
"332",2,0,1,0,45,1202,29.8817721,0.04,0,2003,0
"333",1,0,0,1,229,1034,0,0.01,0,2010,0
"334",3,1,0,1,99,1722,4.5472262,0,27,2014,0
"335",4,0,0,0,438,2776,1.2992075,0.08,5,2012,0
"336",3,0,0,0,456,2555,24.3288591,0,10,2010,0
"337",3,0,1,0,147,655,12.9920748,0.08,0,2011,0
"338",3,0,0,1,28,988,9.0944524,0.01,0,2006,0
"339",2,0,0,1,72,1069,36.3778095,0.01,0,2003,0
"340",4,0,0,1,18,3541,8.4448486,0,0,2014,0
"341",1,1,0,0,141,2189,12.3424711,0.02,0,2014,0
"342",3,0,0,0,8,2336,3.8976225,0,0,2007,0
"343",4,0,0,1,204,76,5.8464337,0.01,0,2007,0
"344",1,0,0,1,46,113,0,0.04,0,2010,0
"345",3,1,1,1,88,5622,9.7440561,0.02,0,2003,0
"346",3,1,0,1,353,1735,0,0.02,13,2006,0
"347",3,0,0,0,402,2798,1.9488112,0,5,2009,0
"348",4,1,0,1,337,1691,0,0,0,2008,0
"349",2,0,0,0,287,2565,0.0649604,0.01,7,2007,0
"350",3,0,0,0,751,862,37.0274133,0.01,2,2011,0
"351",3,0,0,0,213,973,3.8976225,0.05,0,2014,0
"352",2,0,0,1,37,798,2.598415,0.02,0,2009,1
"353",3,0,0,0,414,241,0,0.02,7,2010,0
"354",4,1,0,0,194,676,55.216318,0.01,17,2005,0
"355",1,0,1,1,211,9172,3.2480187,0.02,8,2006,2
"356",2,0,0,1,227,2148,0,0.02,5,2010,0
"357",4,0,0,1,21,2217,1.2992075,0.01,5,2005,0
"358",2,0,0,0,379,1917,35.0786021,0.04,0,2005,0
"359",4,0,0,1,455,267,0,0.24,2,2012,0
"360",2,0,0,0,186,1787,18.1889048,0.22,7,2013,1
"361",3,0,0,1,266,4903,7.7952449,0.04,0,2010,3
"362",4,0,0,0,166,872,0,0.05,0,2007,0
"363",4,0,0,1,160,9323,0.6496037,0.04,0,2015,0
"364",3,0,0,0,160,330,1.2992075,0.01,0,2012,0
"365",2,0,0,0,257,3169,1.9488112,0.14,0,2016,0
"366",1,0,0,0,81,828,1.2992075,0.11,0,2010,0
"367",4,0,1,1,4,3728,2.598415,0.25,14,2003,0
"368",3,1,0,1,466,465,0,0,3,2016,0
"369",2,1,0,0,15,3181,1.9488112,0.03,0,2008,0
"370",4,0,1,0,22,1401,1.2992075,0.08,0,2014,0
"371",1,1,0,1,101,265,0.6496037,0.01,0,2005,0
"372",3,1,0,1,556,884,0,0.19,0,2012,0
"373",2,0,0,1,225,1784,1.2992075,0,0,2006,0
"374",4,0,0,1,45,5344,0.6496037,0.02,0,2011,0
"375",3,0,1,1,268,1987,2.598415,0,11,2004,0
"376",3,1,0,1,103,189,0,0.02,0,2008,1
"377",2,1,0,1,55,2244,2.598415,0,0,2009,10
"378",3,0,0,1,87,220,1.9488112,0.02,9,2013,0
"379",4,0,0,1,124,1436,0.3248019,0.08,0,2003,0
"380",4,0,0,1,1097,1948,0.3248019,0,1,2008,2
"381",3,0,0,0,28,1567,1.9488112,0.04,5,2015,0
"382",3,0,0,0,507,594,1.9488112,0.19,0,2015,0
"383",3,0,0,1,861,1288,0,0.07,0,2013,0
"384",3,0,0,1,244,643,0.6496037,0.16,0,2014,1
"385",3,0,0,0,218,2234,1.2992075,0.02,0,2004,0
"386",3,0,0,1,249,520,0,0.07,0,2003,0
"387",4,0,1,1,185,2034,27.2833572,0.07,5,2016,0
"388",3,1,0,0,265,3020,1.6240094,0,17,2003,0
"389",1,1,0,0,129,1688,4.5472262,0.01,1,2006,0
"390",2,0,1,0,5,616,2.598415,0,0,2010,0
"391",4,0,0,0,501,423,14.2912823,0,3,2013,0
"392",2,1,0,0,764,4026,1.6240094,0,0,2009,0
"393",2,0,0,1,33,4213,0.7145641,0,0,2012,0
"394",4,0,0,1,132,709,0,0.01,0,2014,0
"395",3,0,0,1,481,2806,27.2833572,0.01,0,2011,0
"396",2,1,0,0,267,515,2.598415,0,0,2006,0
"397",4,1,0,0,950,4929,28.5825646,0.01,0,2006,0
"398",4,1,1,0,527,3870,0,0.18,0,2014,0
"399",3,1,1,1,175,984,0,0.02,0,2009,0
"400",3,1,0,1,233,673,9.7440561,0,3,2012,0
"401",4,1,0,1,123,5010,1.9488112,0.03,7,2006,0
"402",4,1,0,0,173,104,5.8464337,0,0,2004,0
"403",2,1,0,1,385,2100,0,0.01,0,2005,0
"404",2,0,0,0,297,1669,1.9488112,0.12,0,2005,1
"405",4,0,0,1,172,1140,4.5472262,0,1,2008,0
"406",3,1,0,0,13,2476,0,0,2,2016,0
"407",2,1,0,0,651,3036,0,0.03,0,2005,0
"408",3,1,0,1,329,2654,1.9488112,0.11,4,2003,0
"409",4,0,1,1,122,1230,0.3248019,0.01,0,2008,0
"410",4,1,0,0,453,3938,2.0137716,0,0,2014,0
"411",2,0,1,0,4,4983,4.5472262,0,0,2005,0
"412",2,1,0,1,170,3505,0,0.01,0,2009,0
"413",1,1,0,0,202,2635,3.8976225,0.01,0,2006,0
"414",3,0,1,0,18,2016,5.1968299,0,0,2005,0
"415",2,1,0,1,476,1582,0,0.02,11,2007,0
"416",4,0,0,1,655,2635,9.0944524,0,5,2010,0
"417",4,0,0,1,247,5632,3.2480187,0.02,0,2016,0
"418",2,1,1,0,478,7680,0.6496037,0.15,5,2011,0
"419",3,1,0,0,525,901,0,0.01,3,2006,0
"420",4,1,0,1,4,9,0,0.02,0,2006,0
"421",4,1,0,0,103,2297,2.598415,0.17,0,2007,0
"422",2,0,0,0,238,1477,9.7440561,0.04,9,2012,2
"423",3,0,0,1,325,189,0,0.02,0,2006,0
"424",3,0,0,0,195,9731,4.5472262,0.09,0,2009,0
"425",2,1,0,1,56,714,62.3619592,0,0,2006,0
"426",3,0,0,0,89,2947,0,0.02,6,2014,0
"427",3,1,0,1,239,1823,5.2617903,0.33,0,2008,0
"428",4,0,0,1,25,2268,25.9841497,0.01,0,2012,0
"429",3,0,1,0,69,1020,0,0.13,0,2013,0
"430",3,1,1,1,19,2769,4.5472262,0.19,0,2005,0
"431",4,1,0,1,54,186,0,0.08,0,2009,0
"432",2,0,0,0,188,6552,0.3248019,0.02,9,2010,0
"433",4,1,0,1,669,2211,18.8385085,0,6,2013,0
"434",2,1,0,0,317,1429,1.2992075,0.04,3,2014,0
"435",3,0,0,0,422,2623,0,0.04,3,2012,0
"436",4,0,0,1,26,734,1.9488112,0.03,0,2013,1
"437",3,0,0,1,87,3686,5.2617903,0.24,0,2005,0
"438",2,0,0,1,262,538,3.8976225,0.09,4,2013,0
"439",2,1,1,0,228,1469,10.3936599,0,0,2009,0
"440",4,0,0,1,80,1356,3.2480187,0.13,7,2006,0
"441",2,0,0,0,121,595,2.598415,0,0,2016,0
"442",2,0,1,1,182,148,3.2480187,0.02,2,2013,0
"443",2,1,0,1,127,2713,0,0.02,0,2007,0
"444",4,0,0,0,0,535,1.9488112,0.07,0,2011,0
"445",1,1,0,0,158,274,0.3248019,0,0,2011,0
